driver_age,driver_gender,driving_experience_years,accident_history_count,license_points,vehicle_type,vehicle_age_years,vehicle_value_brl,annual_mileage_km,usage_type,region,city_size,coverage_type,has_deductible,monthly_insurance_cost
62,M,44,0,2,Sedan,10,28728,12735,Pessoal,Sudeste,Media,Completa,1,194.24
35,M,15,0,0,Pickup,0,127335,21202,Uber,Centro-Oeste,Grande,Completa,1,1218.92
64,M,44,3,6,Sedan,1,76005,19431,Pessoal,Sul,Grande,Completa,1,1134.86
41,M,21,0,0,Hatchback,12,20000,16377,Pessoal,Norte,Grande,Completa,1,150.0
43,M,24,2,2,SUV,0,147890,18274,Pessoal,Norte,Pequena,Intermediária,1,706.06
42,F,23,0,0,Hatchback,7,22077,19297,Pessoal,Centro-Oeste,Pequena,Intermediária,0,150.0
62,M,42,0,0,SUV,8,101971,13036,Pessoal,Sudeste,Media,Completa,0,881.44
58,F,38,0,0,Sedan,9,38568,12596,Pessoal,Centro-Oeste,Pequena,Intermediária,0,150.0
46,M,27,1,2,Sedan,11,20000,21923,Pessoal,Sudeste,Media,Básica,1,150.0
32,F,12,4,0,Sedan,5,57820,29369,Pessoal,Sudeste,Pequena,Intermediária,1,445.51
62,F,42,0,4,SUV,1,142765,7049,Pessoal,Norte,Pequena,Intermediária,1,522.19
18,F,0,0,0,Hatchback,5,35254,24667,Pessoal,Norte,Grande,Básica,0,150.0
42,F,22,0,2,Sedan,8,33046,9675,Pessoal,Norte,Media,Intermediária,0,150.0
24,M,4,1,4,Sedan,11,26750,6663,Uber,Sudeste,Media,Básica,0,178.33
26,F,6,1,2,SUV,2,142703,11476,Uber,Sul,Grande,Intermediária,0,1282.11
41,M,22,3,4,Hatchback,8,26688,17028,Pessoal,Sudeste,Grande,Completa,0,293.14
18,F,0,1,2,Minivan,1,93043,24823,Pessoal,Sudeste,Pequena,Intermediária,1,1007.54
61,M,42,1,0,Hatchback,10,20000,20077,Trabalho,Sudeste,Pequena,Completa,1,166.71
25,M,6,0,4,SUV,4,130627,12143,Pessoal,Sudeste,Media,Intermediária,1,532.2
41,F,23,4,0,Hatchback,10,20000,24631,Pessoal,Centro-Oeste,Pequena,Completa,1,208.26
28,F,10,0,2,Sports,1,245176,24884,Pessoal,Nordeste,Pequena,Básica,0,1134.2
68,F,48,0,4,Pickup,6,83936,6910,Uber,Centro-Oeste,Grande,Básica,1,423.31
34,F,15,1,0,SUV,10,107096,5732,Uber,Nordeste,Grande,Completa,1,905.39
25,F,7,1,0,Sedan,9,34873,24897,Pessoal,Sul,Grande,Completa,0,338.79
52,M,32,1,0,Sedan,14,20000,9609,Pessoal,Sul,Grande,Básica,0,150.0
52,M,34,1,4,SUV,8,108366,16134,Uber,Nordeste,Grande,Completa,0,1557.65
50,M,32,2,6,Hatchback,6,39589,9456,Uber,Sudeste,Media,Intermediária,0,401.04
22,M,3,0,2,SUV,11,99614,19512,Entrega,Sudeste,Pequena,Completa,1,1352.85
59,F,40,2,2,Sedan,4,56506,8335,Pessoal,Sul,Pequena,Intermediária,0,246.85
56,M,38,1,6,Hatchback,14,20000,20545,Pessoal,Sudeste,Media,Intermediária,1,150.0
58,F,40,1,0,Pickup,3,112458,17814,Trabalho,Centro-Oeste,Pequena,Intermediária,0,571.7
45,M,26,1,0,Sedan,11,23783,29552,Pessoal,Nordeste,Media,Intermediária,1,150.0
24,F,4,0,4,Hatchback,3,46170,12056,Pessoal,Norte,Pequena,Intermediária,0,217.8
26,F,7,2,4,SUV,14,84609,7753,Pessoal,Sudeste,Media,Intermediária,1,485.65
25,M,7,1,6,Sports,9,202322,6372,Uber,Sudeste,Grande,Básica,0,2360.03
29,M,9,0,0,Pickup,7,87174,19234,Uber,Nordeste,Pequena,Básica,0,343.33
51,M,33,1,0,SUV,9,111208,14636,Pessoal,Sudeste,Grande,Básica,1,453.75
50,M,30,5,0,Hatchback,12,20000,8376,Uber,Sudeste,Media,Completa,1,259.73
65,M,47,1,0,Sports,9,208636,13481,Pessoal,Norte,Grande,Intermediária,0,2012.78
40,M,20,3,0,SUV,13,84039,15257,Trabalho,Nordeste,Media,Completa,1,748.58
41,M,21,0,4,SUV,9,109990,21447,Pessoal,Norte,Pequena,Completa,1,656.04
54,F,36,0,0,Pickup,9,71441,25329,Pessoal,Sul,Grande,Intermediária,1,281.43
52,F,32,0,4,Sedan,9,33685,21713,Pessoal,Sudeste,Pequena,Completa,1,186.25
61,F,42,1,0,SUV,0,153778,9858,Pessoal,Nordeste,Grande,Intermediária,1,859.11
57,M,39,0,2,Sports,4,233191,23347,Pessoal,Sul,Grande,Básica,0,1417.42
39,F,20,0,0,Hatchback,13,20000,24472,Pessoal,Nordeste,Grande,Intermediária,1,150.0
44,M,26,3,0,SUV,1,138956,21524,Entrega,Sul,Media,Intermediária,0,1524.43
52,M,32,2,0,Sedan,12,20000,18619,Pessoal,Nordeste,Grande,Completa,1,150.0
18,F,0,2,8,SUV,10,109478,9539,Pessoal,Centro-Oeste,Media,Intermediária,1,1573.39
52,M,32,0,4,Sedan,8,32365,23857,Pessoal,Sul,Grande,Básica,1,151.68
54,F,36,0,0,Sedan,6,46668,10594,Pessoal,Sudeste,Grande,Intermediária,1,267.64
64,F,45,0,0,Hatchback,9,20000,8903,Pessoal,Centro-Oeste,Media,Intermediária,1,150.0
31,M,12,2,8,Sedan,7,54731,10364,Trabalho,Centro-Oeste,Grande,Básica,1,414.56
20,M,2,3,0,SUV,5,118675,5449,Pessoal,Sudeste,Grande,Intermediária,1,1716.53
18,M,0,1,0,SUV,8,112907,25830,Trabalho,Nordeste,Grande,Completa,1,2373.78
22,F,3,0,2,Minivan,5,82336,26078,Trabalho,Sudeste,Media,Completa,0,1153.35
43,M,24,1,8,SUV,6,129684,9806,Pessoal,Sudeste,Media,Intermediária,1,789.36
31,M,12,0,0,Sedan,6,59563,5869,Pessoal,Sul,Grande,Intermediária,1,150.0
56,M,37,0,0,Sedan,8,45136,11079,Uber,Norte,Grande,Básica,1,150.0
44,F,26,1,8,Hatchback,10,20000,12307,Pessoal,Sul,Grande,Intermediária,1,150.0
26,M,8,2,0,Hatchback,7,27219,8659,Pessoal,Sudeste,Grande,Completa,1,150.0
32,M,12,0,0,SUV,12,83247,8602,Uber,Nordeste,Pequena,Intermediária,1,379.9
32,F,13,0,2,SUV,0,144415,13584,Pessoal,Sul,Media,Básica,1,338.79
43,F,23,5,6,Sedan,3,74741,23832,Pessoal,Sudeste,Media,Completa,0,1392.28
59,M,41,0,0,SUV,6,116472,19385,Entrega,Sul,Grande,Completa,0,1197.05
30,M,12,0,12,SUV,10,94848,15983,Pessoal,Nordeste,Media,Intermediária,1,451.74
68,M,48,0,2,Sedan,7,36037,28976,Pessoal,Sudeste,Pequena,Básica,1,233.27
49,F,30,0,0,Sedan,6,55634,24337,Uber,Nordeste,Media,Básica,1,171.65
56,M,37,0,12,Sedan,11,23262,10131,Uber,Nordeste,Media,Básica,1,150.0
66,F,47,2,0,Sedan,2,71066,6358,Pessoal,Centro-Oeste,Media,Intermediária,1,327.6
69,F,50,0,0,Hatchback,14,20000,29603,Pessoal,Centro-Oeste,Media,Básica,1,150.0
49,F,29,1,2,Sedan,3,62008,21771,Trabalho,Sudeste,Grande,Completa,1,703.32
21,M,1,1,0,Sedan,11,30263,18603,Trabalho,Sudeste,Media,Completa,1,493.06
47,F,29,1,0,Sedan,6,56238,21246,Pessoal,Centro-Oeste,Grande,Intermediária,1,349.94
54,F,35,3,0,Minivan,7,60642,22216,Pessoal,Norte,Media,Intermediária,1,267.41
40,F,21,3,0,Sports,6,226489,13441,Pessoal,Sudeste,Pequena,Intermediária,1,2050.11
56,M,37,0,4,Sedan,5,62153,15219,Uber,Sudeste,Pequena,Completa,1,393.91
62,F,42,2,2,SUV,8,119324,14720,Uber,Sudeste,Media,Completa,0,2602.62
32,M,13,1,12,Sedan,8,44531,25577,Entrega,Sudeste,Grande,Básica,0,539.96
60,M,40,4,0,SUV,10,100384,23222,Uber,Sul,Grande,Básica,0,1135.52
46,M,27,1,0,Sedan,12,26336,14552,Pessoal,Sudeste,Media,Completa,0,195.81
53,F,34,4,0,Hatchback,6,33661,16301,Pessoal,Sudeste,Pequena,Intermediária,0,277.27
30,M,12,2,0,SUV,7,116687,14515,Trabalho,Sudeste,Media,Básica,0,682.38
49,M,30,0,0,Sports,5,228404,5891,Trabalho,Sudeste,Grande,Intermediária,1,1517.02
24,M,5,1,4,Sedan,0,74355,26972,Pessoal,Centro-Oeste,Pequena,Completa,1,689.91
68,M,50,5,6,Pickup,0,110933,22689,Pessoal,Nordeste,Pequena,Básica,1,853.1
39,F,19,3,10,Pickup,5,93766,20085,Uber,Norte,Grande,Completa,1,1873.97
45,F,25,0,0,Sedan,1,70906,26667,Pessoal,Sudeste,Media,Básica,1,158.97
19,M,0,2,6,SUV,13,87572,25932,Pessoal,Sul,Media,Completa,1,2111.06
59,M,39,0,0,Sedan,7,47279,9192,Trabalho,Norte,Media,Intermediária,1,150.0
62,F,43,0,0,Sedan,0,80723,21128,Trabalho,Centro-Oeste,Pequena,Intermediária,0,410.62
23,M,5,1,6,Sedan,12,20611,27836,Pessoal,Sudeste,Grande,Intermediária,1,160.09
45,M,27,0,2,Hatchback,1,53261,29837,Trabalho,Sul,Media,Completa,1,299.95
45,F,26,2,0,SUV,7,109474,23724,Pessoal,Sul,Media,Completa,1,909.2
61,F,43,0,0,Minivan,11,51638,23177,Pessoal,Sul,Pequena,Intermediária,0,288.21
61,M,43,2,0,Sedan,5,49787,27778,Pessoal,Sul,Pequena,Intermediária,1,316.83
37,F,18,0,4,Minivan,11,48575,15362,Trabalho,Norte,Pequena,Intermediária,0,227.27
47,M,28,0,0,Sedan,9,32862,21708,Entrega,Sudeste,Media,Intermediária,0,256.88
28,F,10,0,10,Pickup,1,115956,14177,Trabalho,Centro-Oeste,Pequena,Completa,1,866.08
45,M,25,0,0,SUV,1,145663,29232,Uber,Nordeste,Grande,Básica,1,697.69
42,M,22,0,0,Sedan,10,36120,29498,Pessoal,Nordeste,Grande,Básica,1,150.0
56,M,37,0,0,Sports,13,178742,11644,Pessoal,Nordeste,Grande,Intermediária,1,1019.61
50,F,31,1,2,SUV,6,112035,9782,Pessoal,Norte,Pequena,Básica,1,250.23
18,F,0,0,0,Hatchback,4,31967,15052,Pessoal,Sudeste,Pequena,Completa,1,286.83
44,M,26,1,4,Hatchback,4,31852,24521,Trabalho,Norte,Grande,Intermediária,0,242.05
69,M,49,0,6,SUV,7,124567,8898,Trabalho,Centro-Oeste,Grande,Intermediária,0,1071.44
30,F,10,3,8,SUV,11,95547,22219,Entrega,Sul,Pequena,Completa,1,1653.55
58,M,38,3,4,Hatchback,11,20000,9154,Pessoal,Centro-Oeste,Media,Intermediária,1,150.0
20,M,0,1,6,Sedan,6,53859,7778,Pessoal,Centro-Oeste,Pequena,Intermediária,0,517.98
56,F,37,0,2,Hatchback,11,20000,18809,Pessoal,Norte,Grande,Básica,0,150.0
23,M,4,0,4,Sports,13,186350,11409,Pessoal,Sudeste,Grande,Intermediária,1,2231.5
25,F,7,4,0,Sedan,8,46566,17523,Pessoal,Sudeste,Media,Básica,1,277.19
44,F,26,0,0,Sedan,3,55164,9313,Pessoal,Sul,Grande,Intermediária,1,150.0
26,M,8,0,0,Hatchback,9,20000,27030,Pessoal,Sudeste,Grande,Intermediária,1,150.0
54,M,36,0,0,SUV,3,127137,12608,Pessoal,Sul,Grande,Intermediária,0,601.89
50,M,30,0,0,SUV,1,145215,25105,Pessoal,Sudeste,Grande,Intermediária,1,804.55
68,F,49,0,8,Sedan,2,76838,18717,Pessoal,Nordeste,Grande,Básica,1,329.64
59,F,40,2,0,SUV,0,158669,29295,Pessoal,Sul,Pequena,Completa,0,1493.68
61,F,43,0,0,Sedan,0,86925,16864,Pessoal,Sudeste,Grande,Básica,1,286.45
41,M,23,1,2,SUV,6,116033,16214,Pessoal,Sul,Grande,Completa,1,923.66
32,F,12,0,0,Pickup,13,47665,17876,Pessoal,Sul,Pequena,Intermediária,1,272.65
49,F,29,0,0,Sedan,13,20000,23055,Pessoal,Sudeste,Media,Intermediária,0,150.0
49,F,31,3,0,SUV,4,132125,5916,Pessoal,Sul,Media,Intermediária,1,594.47
41,F,22,0,0,Minivan,2,86189,26972,Pessoal,Sudeste,Media,Completa,1,542.2
58,F,39,2,0,Hatchback,6,33708,14325,Trabalho,Sul,Pequena,Básica,1,150.0
69,F,50,1,4,Pickup,13,63072,27880,Trabalho,Sul,Pequena,Intermediária,0,526.16
66,F,48,0,4,SUV,1,140095,23220,Trabalho,Sudeste,Media,Completa,1,1711.05
66,M,47,4,0,Pickup,2,114409,23522,Pessoal,Sudeste,Pequena,Completa,1,1633.56
69,M,49,0,0,Sedan,0,77583,9007,Pessoal,Sul,Media,Intermediária,1,254.9
29,F,9,3,0,Sedan,7,36637,23289,Trabalho,Sudeste,Grande,Completa,1,497.94
56,M,38,0,4,Sedan,1,79670,25373,Pessoal,Nordeste,Pequena,Intermediária,1,287.04
19,F,0,3,0,SUV,14,75966,8485,Trabalho,Centro-Oeste,Media,Básica,0,801.27
20,F,2,0,0,Pickup,6,84670,26181,Pessoal,Sul,Pequena,Intermediária,1,594.02
66,F,47,1,4,SUV,10,95203,24116,Pessoal,Sudeste,Grande,Intermediária,0,1219.38
54,M,35,2,0,Hatchback,8,28274,29098,Trabalho,Centro-Oeste,Grande,Intermediária,0,298.45
66,M,47,3,0,Hatchback,5,44589,15961,Pessoal,Sul,Pequena,Completa,1,297.32
34,M,14,3,0,Hatchback,1,53669,22705,Pessoal,Nordeste,Grande,Intermediária,0,349.22
66,F,48,2,8,SUV,1,149968,16908,Pessoal,Norte,Pequena,Básica,1,801.58
19,F,0,3,6,Hatchback,8,20000,8354,Pessoal,Nordeste,Pequena,Completa,1,332.25
19,F,1,0,4,SUV,9,113910,18509,Pessoal,Nordeste,Pequena,Básica,1,658.38
45,M,26,0,0,Sedan,7,35366,12101,Pessoal,Centro-Oeste,Media,Completa,1,150.0
40,F,20,0,2,Minivan,13,40647,9743,Trabalho,Centro-Oeste,Media,Completa,1,217.85
54,F,34,0,10,Sedan,13,20000,13951,Trabalho,Centro-Oeste,Pequena,Completa,0,150.0
49,M,31,0,8,Sedan,13,20000,12014,Pessoal,Nordeste,Media,Completa,1,150.0
50,F,30,1,0,Sports,8,200012,8412,Entrega,Centro-Oeste,Media,Básica,0,1395.11
18,M,0,0,4,SUV,3,144623,29209,Pessoal,Sudeste,Pequena,Intermediária,1,1620.75
36,M,18,1,0,Hatchback,3,37317,22741,Pessoal,Sudeste,Media,Básica,1,150.0
19,F,0,0,0,SUV,14,85429,24865,Trabalho,Nordeste,Pequena,Básica,1,532.3
61,M,41,0,2,SUV,14,77485,14140,Trabalho,Sul,Grande,Intermediária,0,591.77
43,F,25,1,0,Sedan,1,81759,15271,Trabalho,Centro-Oeste,Grande,Básica,0,364.15
49,F,29,2,8,SUV,13,75256,23150,Pessoal,Norte,Media,Completa,1,775.35
23,F,3,2,0,SUV,9,111833,13219,Pessoal,Centro-Oeste,Grande,Completa,1,1334.96
49,M,29,1,2,Hatchback,0,65903,12163,Uber,Norte,Media,Intermediária,1,322.4
21,F,1,0,6,SUV,9,98212,7470,Pessoal,Centro-Oeste,Grande,Intermediária,1,884.51
28,F,10,1,6,Minivan,12,36175,15730,Trabalho,Sul,Pequena,Intermediária,0,224.99
34,F,16,0,0,Sedan,3,68571,21543,Pessoal,Nordeste,Grande,Completa,0,379.5
55,M,37,0,0,SUV,9,111087,24276,Trabalho,Sudeste,Grande,Intermediária,1,874.45
41,M,21,1,2,Hatchback,9,20000,26710,Pessoal,Sudeste,Grande,Básica,1,150.0
22,F,2,0,0,Sports,10,207692,9113,Pessoal,Sudeste,Media,Intermediária,0,2760.41
69,M,49,0,8,Sedan,7,49877,18414,Pessoal,Sudeste,Grande,Intermediária,0,481.54
51,F,33,4,6,Hatchback,1,57943,12749,Trabalho,Sudeste,Grande,Completa,0,1034.92
23,F,3,4,0,Sports,12,190306,29182,Trabalho,Sudeste,Media,Básica,0,3000.0
39,M,20,0,0,Sedan,11,20000,16914,Pessoal,Centro-Oeste,Grande,Básica,1,150.0
28,F,8,0,0,Sports,10,195912,20007,Trabalho,Nordeste,Grande,Completa,1,2046.98
65,F,46,0,6,Sedan,7,35442,16923,Pessoal,Sudeste,Media,Completa,1,199.82
33,F,13,0,0,Hatchback,0,52944,26383,Pessoal,Sul,Grande,Completa,1,295.86
50,F,32,3,0,Minivan,14,23936,18042,Pessoal,Centro-Oeste,Grande,Intermediária,0,327.99
26,F,6,0,0,Hatchback,0,50398,22954,Pessoal,Centro-Oeste,Grande,Intermediária,1,191.83
23,M,4,2,2,SUV,3,140696,18181,Pessoal,Norte,Grande,Intermediária,1,1343.0
33,M,14,0,0,Sedan,6,42995,17130,Pessoal,Sul,Media,Básica,1,150.0
46,F,26,4,0,Sports,8,206329,8405,Trabalho,Nordeste,Grande,Intermediária,1,2396.01
20,M,1,0,8,SUV,4,122216,15862,Trabalho,Sudeste,Pequena,Básica,1,1172.15
37,M,18,2,6,Sedan,1,83091,26911,Trabalho,Centro-Oeste,Pequena,Intermediária,1,572.25
53,M,35,0,4,Hatchback,11,20000,20249,Pessoal,Sul,Grande,Completa,0,150.0
36,F,16,1,0,SUV,6,112568,17939,Uber,Sudeste,Pequena,Intermediária,1,848.98
43,F,23,0,0,Sedan,10,20160,18967,Trabalho,Sul,Grande,Completa,1,161.64
20,F,0,0,2,Sedan,1,80648,10848,Pessoal,Sudeste,Grande,Básica,1,470.23
36,F,17,3,0,Sedan,8,38067,11817,Trabalho,Sudeste,Grande,Intermediária,1,303.89
37,F,17,3,6,Hatchback,8,20000,23011,Pessoal,Nordeste,Grande,Intermediária,1,155.64
49,M,29,3,2,Hatchback,2,43573,11143,Pessoal,Centro-Oeste,Media,Completa,1,225.59
24,F,6,1,0,SUV,12,81825,19509,Pessoal,Sudeste,Grande,Intermediária,1,794.75
69,M,51,2,6,Pickup,7,88786,15058,Pessoal,Sudeste,Pequena,Completa,1,1073.96
58,F,40,0,8,Sports,10,199815,13396,Uber,Sudeste,Media,Básica,1,1718.13
50,F,31,0,0,Hatchback,3,48794,27942,Pessoal,Norte,Grande,Completa,1,150.0
57,M,37,0,2,Sedan,2,61176,16771,Pessoal,Sudeste,Media,Básica,0,269.93
56,M,38,1,0,Hatchback,0,69604,10272,Uber,Sudeste,Pequena,Completa,1,400.93
35,M,17,0,0,SUV,4,127820,16366,Uber,Sul,Grande,Intermediária,1,787.15
57,M,39,0,0,Hatchback,12,20000,29265,Trabalho,Centro-Oeste,Grande,Completa,1,151.38
